province id,province terrain
415,farmlands
2310,farmlands
186,farmlands
90,farmlands
92,farmlands
88,farmlands
182,farmlands
12,farmlands
14,farmlands
6,farmlands
289,farmlands
2407,farmlands
290,farmlands
279,farmlands
4538,farmlands
695,farmlands
696,farmlands
1816,farmlands
2137,farmlands
690,farmlands
691,farmlands
2138,farmlands
2139,farmlands
2140,farmlands
685,farmlands
1821,farmlands
1822,farmlands
2141,farmlands
2142,farmlands
2145,farmlands
1838,farmlands
2143,farmlands
2144,farmlands
684,farmlands
2148,farmlands
2149,farmlands
2150,farmlands
687,farmlands
688,farmlands
692,farmlands
1836,farmlands
2175,farmlands
2176,farmlands
671,farmlands
672,farmlands
682,farmlands
683,farmlands
2151,farmlands
2172,farmlands
679,farmlands
665,farmlands
667,farmlands
2156,farmlands
2157,farmlands
2159,farmlands
2163,farmlands
700,farmlands
2312,farmlands
257,farmlands
2033,farmlands [cite: 4]
148,farmlands [cite: 4]
64,farmlands [cite: 4]
2955,farmlands [cite: 4]
2957,farmlands [cite: 4]
267,farmlands [cite: 4]
2979,farmlands [cite: 4]
2980,farmlands [cite: 4]
2981,farmlands [cite: 4]
4384,farmlands [cite: 4]
4388,farmlands [cite: 4]
4390,farmlands [cite: 4]
4392,farmlands [cite: 4]
43,farmlands [cite: 4]
97,farmlands [cite: 4]
98,farmlands [cite: 4]
100,farmlands [cite: 4]
4382,farmlands [cite: 4]
4383,farmlands [cite: 4]
234,farmlands [cite: 4]
235,farmlands [cite: 4]
236,farmlands [cite: 4]
238,farmlands [cite: 4]
4367,farmlands [cite: 4]
4368,farmlands [cite: 4]
4371,farmlands [cite: 4]
4375,farmlands [cite: 4]
358,farmlands [cite: 4]
359,farmlands [cite: 4]
361,farmlands [cite: 4]
363,farmlands [cite: 4]
2316,farmlands [cite: 4]
4316,farmlands [cite: 4]
262,farmlands [cite: 4]
264,farmlands [cite: 4]
4126,farmlands [cite: 4]
4173,farmlands [cite: 4]
4240,farmlands [cite: 4]
4194,farmlands [cite: 4]
4195,farmlands [cite: 4]
4196,farmlands [cite: 4]
4197,farmlands [cite: 4]
4212,farmlands [cite: 4]
4213,farmlands [cite: 4]
1020,farmlands [cite: 4]
1021,farmlands [cite: 4]
1028,farmlands [cite: 4]
1030,farmlands [cite: 4]
735,farmlands [cite: 4]
2745,farmlands [cite: 4]
581,farmlands [cite: 4]
4396,farmlands [cite: 4]
585,farmlands [cite: 4]
586,farmlands [cite: 4]
2076,farmlands [cite: 4]
4415,farmlands [cite: 4]
4416,farmlands [cite: 4]
4428,farmlands [cite: 4]
4476,farmlands [cite: 4]
4479,farmlands [cite: 4]
4487,farmlands [cite: 4]
4489,farmlands [cite: 4]
4490,farmlands [cite: 4]
4496,farmlands [cite: 4]
4497,farmlands [cite: 4]
4510,farmlands [cite: 4]
4513,farmlands [cite: 4]
4529,farmlands [cite: 4]
4531,farmlands [cite: 4]
146,farmlands [cite: 4]
67,farmlands [cite: 4]
4765,farmlands [cite: 4]
4769,farmlands [cite: 4]
4712,farmlands [cite: 4]
4831,farmlands [cite: 4]
4832,farmlands [cite: 4]
2774,farmlands [cite: 4]
2775,farmlands [cite: 4]
2794,farmlands [cite: 4]
2796,farmlands [cite: 4]
2,forest [cite: 5]
4,forest [cite: 5]
8,forest [cite: 5]
9,forest [cite: 5]
11,forest [cite: 5]
18,forest [cite: 5]
29,forest [cite: 5]
30,forest [cite: 5]
31,forest [cite: 5]
315,forest [cite: 5]
4123,forest [cite: 5]
4124,forest [cite: 5]
309,forest [cite: 5]
1955,forest [cite: 5]
2611,forest [cite: 5]
996,forest [cite: 5]
997,forest [cite: 5]
998,forest [cite: 5]
2575,forest [cite: 5]
1054,forest [cite: 5]
1046,forest [cite: 5]
10,forest [cite: 5]
993,forest [cite: 5]
1011,forest [cite: 5]
2572,forest [cite: 5]
2583,forest [cite: 5]
2671,forest [cite: 5]
978,forest [cite: 5]
980,forest [cite: 5]
2022,forest [cite: 5]
2517,forest [cite: 5]
2573,forest [cite: 5]
2582,forest [cite: 5]
2593,forest [cite: 5]
960,forest [cite: 5]
1109,forest [cite: 5]
1026,forest [cite: 5]
4187,forest [cite: 5]
312,forest [cite: 5]
508,hills [cite: 6]
509,hills [cite: 6]
511,hills [cite: 6]
515,hills [cite: 6]
525,hills [cite: 6]
527,hills [cite: 6]
530,hills [cite: 6]
545,hills [cite: 6]
550,hills [cite: 6]
554,hills [cite: 6]
557,hills [cite: 6]
1947,hills [cite: 6]
2036,hills [cite: 6]
2037,hills [cite: 6]
2040,hills [cite: 6]
2043,hills [cite: 6]
2056,hills [cite: 6]
2058,hills [cite: 6]
2069,hills [cite: 6]
2070,hills [cite: 6]
2071,hills [cite: 6]
2080,hills [cite: 6]
2090,hills [cite: 6]
2092,hills [cite: 6]
2097,hills [cite: 6]
105,hills [cite: 6]
106,hills [cite: 6]
107,hills [cite: 6]
111,hills [cite: 6]
1774,hills [cite: 6]
1844,hills [cite: 6]
1746,hills [cite: 6]
4739,hills [cite: 6]
1827,hills [cite: 6]
63,hills [cite: 6]
488,hills [cite: 6]
489,hills [cite: 6]
837,hills [cite: 6]
839,hills [cite: 6]
841,hills [cite: 6]
844,hills [cite: 6]
847,hills [cite: 6]
849,hills [cite: 6]
851,hills [cite: 6]
854,hills [cite: 6]
855,hills [cite: 6]
899,hills [cite: 6]
911,hills [cite: 6]
959,hills [cite: 6]
966,hills [cite: 6]
981,hills [cite: 6]
992,hills [cite: 6]
994,hills [cite: 6]
995,hills [cite: 6]
2023,hills [cite: 6]
2515,hills [cite: 6]
2518,hills [cite: 6]
2557,hills [cite: 6]
2558,hills [cite: 6]
2562,hills [cite: 6]
2565,hills [cite: 6]
2567,hills [cite: 6]
2571,hills [cite: 6]
2577,hills [cite: 6]
2579,hills [cite: 6]
2627,hills [cite: 6]
2638,hills [cite: 6]
2640,hills [cite: 6]
2642,hills [cite: 6]
2648,hills [cite: 6]
2653,hills [cite: 6]
2657,hills [cite: 6]
2660,hills [cite: 6]
931,hills [cite: 7]
935,hills [cite: 7]
949,hills [cite: 7]
951,hills [cite: 7]
961,hills [cite: 7]
964,hills [cite: 7]
969,hills [cite: 7]
972,hills [cite: 7]
986,hills [cite: 7]
2580,hills [cite: 7]
2011,hills [cite: 7]
2012,hills [cite: 7]
2509,hills [cite: 7]
2527,hills [cite: 7]
2531,hills [cite: 7]
2548,hills [cite: 7]
2552,hills [cite: 7]
2553,hills [cite: 7]
2555,hills [cite: 7]
2556,hills [cite: 7]
2559,hills [cite: 7]
2563,hills [cite: 7]
2607,hills [cite: 7]
2608,hills [cite: 7]
1117,hills [cite: 7]
1121,hills [cite: 7]
1016,hills [cite: 7]
2373,hills [cite: 7]
1022,hills [cite: 7]
1823,hills [cite: 7]
604,hills [cite: 7]
609,hills [cite: 7]
615,hills [cite: 7]
611,hills [cite: 7]
2382,hills [cite: 7]
608,hills [cite: 7]
2379,hills [cite: 7]
2299,hills [cite: 7]
318,hills [cite: 7]
2606,hills [cite: 7]
2658,hills [cite: 7]
193,hills [cite: 7]
201,hills [cite: 7]
102,hills [cite: 7]
198,hills [cite: 7]
176,hills [cite: 7]
196,hills [cite: 7]
203,hills [cite: 7]
325,hills [cite: 7]
101,hills [cite: 7]
140,hills [cite: 7]
1828,hills [cite: 7]
123,hills [cite: 7]
1934,hills [cite: 7]
116,hills [cite: 7]
119,hills [cite: 7]
1848,hills [cite: 7]
669,hills [cite: 7]
670,hills [cite: 7]
681,hills [cite: 7]
686,hills [cite: 7]
1824,hills [cite: 7]
1829,hills [cite: 7]
1833,hills [cite: 7]
1840,hills [cite: 7]
2146,hills [cite: 7]
2147,hills [cite: 7]
2152,hills [cite: 7]
2153,hills [cite: 7]
2158,hills [cite: 7]
2171,hills [cite: 7]
2173,hills [cite: 7]
2174,hills [cite: 7]
652,hills [cite: 7]
657,hills [cite: 7]
658,hills [cite: 7]
2697,hills [cite: 7]
2698,hills [cite: 7]
2701,hills [cite: 7]
2965,hills [cite: 7]
2976,hills [cite: 7]
2977,hills [cite: 7]
2978,hills [cite: 7]
2983,hills [cite: 7]
2984,hills [cite: 7]
2991,hills [cite: 7]
3002,hills [cite: 7]
242,hills [cite: 7]
4366,hills [cite: 7]
250,hills [cite: 7]
251,hills [cite: 7]
4361,hills [cite: 7]
4362,hills [cite: 7]
4363,hills [cite: 7]
1792,hills [cite: 7]
4023,hills [cite: 7]
4046,hills [cite: 7]
4050,hills [cite: 7]
4063,hills [cite: 7]
4066,hills [cite: 7]
4068,hills [cite: 7]
4069,hills [cite: 7]
4070,hills [cite: 7]
4072,hills [cite: 7]
4098,hills [cite: 7]
4102,hills [cite: 7]
156,hills [cite: 7]
1951,hills [cite: 7]
4144,hills [cite: 7]
4145,hills [cite: 7]
4164,hills [cite: 7]
232,hills [cite: 7]
733,hills [cite: 7]
2694,hills [cite: 7]
2742,hills [cite: 7]
2744,hills [cite: 7]
4229,hills [cite: 7]
4231,hills [cite: 7]
1018,hills [cite: 8]
1025,hills [cite: 8]
1029,hills [cite: 8]
1820,hills [cite: 8]
1830,hills [cite: 8]
1832,hills [cite: 8]
1843,hills [cite: 8]
1852,hills [cite: 8]
4180,hills [cite: 8]
4183,hills [cite: 8]
4185,hills [cite: 8]
4188,hills [cite: 8]
4191,hills [cite: 8]
4192,hills [cite: 8]
4239,hills [cite: 8]
1856,hills [cite: 8]
4311,hills [cite: 8]
4312,hills [cite: 8]
4315,hills [cite: 8]
4449,hills [cite: 8]
4483,hills [cite: 8]
4484,hills [cite: 8]
4485,hills [cite: 8]
4491,hills [cite: 8]
4492,hills [cite: 8]
4493,hills [cite: 8]
4511,hills [cite: 8]
521,hills [cite: 8]
548,hills [cite: 8]
559,hills [cite: 8]
740,hills [cite: 8]
4430,hills [cite: 8]
4434,hills [cite: 8]
4453,hills [cite: 8]
4459,hills [cite: 8]
4462,hills [cite: 8]
4465,hills [cite: 8]
4466,hills [cite: 8]
4467,hills [cite: 8]
4480,hills [cite: 8]
4500,hills [cite: 8]
518,hills [cite: 8]
529,hills [cite: 8]
531,hills [cite: 8]
533,hills [cite: 8]
538,hills [cite: 8]
1949,hills [cite: 8]
2027,hills [cite: 8]
2030,hills [cite: 8]
2032,hills [cite: 8]
2083,hills [cite: 8]
2089,hills [cite: 8]
4414,hills [cite: 8]
4420,hills [cite: 8]
4425,hills [cite: 8]
4426,hills [cite: 8]
4427,hills [cite: 8]
4429,hills [cite: 8]
4552,hills [cite: 8]
2479,hills [cite: 8]
2992,hills [cite: 8]
4694,hills [cite: 8]
4695,hills [cite: 8]
4696,hills [cite: 8]
4777,hills [cite: 8]
4307,hills [cite: 8]
4702,hills [cite: 8]
4705,hills [cite: 8]
4779,hills [cite: 8]
2956,hills [cite: 8]
4707,hills [cite: 8]
4715,hills [cite: 8]
4744,hills [cite: 8]
4761,hills [cite: 8]
1770,hills [cite: 8]
137,hills [cite: 8]
4753,hills [cite: 8]
4764,hills [cite: 8]
1106,hills [cite: 8]
1108,hills [cite: 8]
2738,hills [cite: 8]
4939,hills [cite: 9]
4840,hills [cite: 9]
4856,hills [cite: 9]
206,woods
1851,woods
374,woods
375,woods
376,woods
4118,woods
4119,woods
4120,woods
4121,woods
129,woods
4755,woods
4757,woods
4703,woods
968,woods
970,woods
62,woods
58,woods
1826,woods
130,woods
4148,woods
1765,woods
141,woods
859,woods
918,woods
919,woods
939,woods
940,woods
944,woods
946,woods
947,woods
948,woods
963,woods
987,woods
988,woods
2560,woods
2585,woods
2586,woods
2639,woods
2750,woods
895,woods
914,woods
933,woods
934,woods
937,woods
941,woods
943,woods
954,woods
955,woods
958,woods
956,woods
965,woods
967,woods
989,woods
2010,woods
2528,woods
2529,woods
2523,woods
2524,woods
2525,woods
2526,woods
2540,woods
2541,woods
2544,woods
2545,woods
2549,woods
2584,woods
2670,woods
2014,woods
2665,woods
1937,woods
269,woods
99,woods
95,woods
1834,woods
37,woods
273,woods
271,woods
272,woods
770,woods
275,woods
771,woods [cite: 10]
311,woods [cite: 10]
1960,woods [cite: 10]
274,woods [cite: 10]
34,woods [cite: 10]
310,woods [cite: 10]
1752,woods [cite: 10]
1959,woods [cite: 10]
40,woods [cite: 10]
41,woods [cite: 10]
1938,woods [cite: 10]
256,woods [cite: 10]
261,woods [cite: 10]
2424,woods [cite: 10]
316,woods [cite: 10]
317,woods [cite: 10]
175,woods [cite: 10]
173,woods [cite: 10]
174,woods [cite: 10]
194,woods [cite: 10]
195,woods [cite: 10]
190,woods [cite: 10]
178,woods [cite: 10]
184,woods [cite: 10]
187,woods [cite: 10]
181,woods [cite: 10]
1866,woods [cite: 10]
94,woods [cite: 10]
93,woods [cite: 10]
188,woods [cite: 10]
189,woods [cite: 10]
1880,woods [cite: 10]
72,woods [cite: 10]
69,woods [cite: 10]
1761,woods [cite: 10]
66,woods [cite: 10]
63,woods [cite: 10]
80,woods [cite: 10]
1760,woods [cite: 10]
83,woods [cite: 10]
81,woods [cite: 10]
1762,woods [cite: 10]
1742,woods [cite: 10]
1878,woods [cite: 10]
85,woods [cite: 10]
84,woods [cite: 10]
86,woods [cite: 10]
56,woods [cite: 10]
1758,woods [cite: 10]
82,woods [cite: 10]
53,woods [cite: 10]
1857,woods [cite: 10]
46,woods [cite: 10]
52,woods [cite: 10]
51,woods [cite: 10]
50,woods [cite: 10]
1759,woods [cite: 10]
47,woods [cite: 10]
48,woods [cite: 10]
49,woods [cite: 10]
1763,woods [cite: 10]
60,woods [cite: 10]
61,woods [cite: 10]
59,woods [cite: 10]
57,woods [cite: 10]
38,woods [cite: 10]
296,woods [cite: 10]
297,woods [cite: 10]
1945,woods [cite: 10]
298,woods [cite: 10]
239,woods [cite: 10]
372,woods [cite: 10]
247,woods [cite: 10]
1863,woods [cite: 10]
3,woods [cite: 10]
2,woods [cite: 10]
1985,woods [cite: 10]
2749,woods [cite: 10]
1753,woods [cite: 10]
307,woods [cite: 10]
1956,woods [cite: 10]
1754,woods [cite: 10]
2423,woods [cite: 10]
306,woods [cite: 10]
1957,woods [cite: 10]
1083,woods [cite: 10]
1079,woods [cite: 10]
1972,woods [cite: 10]
2427,woods [cite: 10]
1074,woods [cite: 10]
2428,woods [cite: 10]
2433,woods [cite: 10]
2429,woods [cite: 10]
1068,woods [cite: 10]
1064,woods [cite: 10]
480,woods [cite: 10]
1065,woods [cite: 10]
2432,woods [cite: 10]
2443,woods [cite: 10]
1062,woods [cite: 10]
1063,woods [cite: 10]
1060,woods [cite: 11]
2442,woods [cite: 11]
2435,woods [cite: 11]
1056,woods [cite: 11]
2446,woods [cite: 11]
2551,woods [cite: 11]
2013,woods [cite: 11]
971,woods [cite: 11]
2566,woods [cite: 11]
2570,woods [cite: 11]
985,woods [cite: 11]
984,woods [cite: 11]
2569,woods [cite: 11]
2568,woods [cite: 11]
945,woods [cite: 11]
2521,woods [cite: 11]
2522,woods [cite: 11]
2587,woods [cite: 11]
912,woods [cite: 11]
2487,woods [cite: 11]
973,woods [cite: 11]
874,woods [cite: 11]
873,woods [cite: 11]
2482,woods [cite: 11]
276,woods [cite: 11]
2304,woods [cite: 11]
2737,woods [cite: 11]
4176,woods [cite: 11]
2739,woods [cite: 11]
767,woods [cite: 11]
727,woods [cite: 11]
731,woods [cite: 11]
1033,woods [cite: 11]
1049,woods [cite: 11]
1050,woods [cite: 11]
1053,woods [cite: 11]
2102,woods [cite: 11]
2106,woods [cite: 11]
2964,woods [cite: 11]
2969,woods [cite: 11]
2970,woods [cite: 11]
2971,woods [cite: 11]
2972,woods [cite: 11]
2973,woods [cite: 11]
2974,woods [cite: 11]
2975,woods [cite: 11]
2993,woods [cite: 11]
2995,woods [cite: 11]
2996,woods [cite: 11]
2997,woods [cite: 11]
3000,woods [cite: 11]
4112,woods [cite: 11]
4115,woods [cite: 11]
4116,woods [cite: 11]
4117,woods [cite: 11]
1084,woods [cite: 11]
1107,woods [cite: 11]
1982,woods [cite: 11]
4165,woods [cite: 11]
4166,woods [cite: 11]
1014,woods [cite: 11]
1027,woods [cite: 11]
1819,woods [cite: 11]
1835,woods [cite: 11]
4181,woods [cite: 11]
4182,woods [cite: 11]
4184,woods [cite: 11]
4186,woods [cite: 11]
4189,woods [cite: 11]
4127,woods [cite: 11]
4241,woods [cite: 11]
4242,woods [cite: 11]
4243,woods [cite: 11]
4251,woods [cite: 11]
4252,woods [cite: 11]
4253,woods [cite: 11]
4254,woods [cite: 11]
4260,woods [cite: 11]
4266,woods [cite: 11]
240,woods [cite: 11]
244,woods [cite: 11]
4372,woods [cite: 11]
4377,woods [cite: 11]
4378,woods [cite: 11]
4379,woods [cite: 11]
4380,woods [cite: 11]
4381,woods [cite: 11]
4387,woods [cite: 11]
4389,woods [cite: 11]
4541,woods [cite: 11]
4537,woods [cite: 11]
4535,woods [cite: 11]
2963,woods [cite: 11]
4544,woods [cite: 11]
4543,woods [cite: 11]
4524,woods [cite: 11]
4555,woods [cite: 11]
4558,woods [cite: 12]
4658,woods [cite: 12]
4659,woods [cite: 12]
4660,woods [cite: 12]
4654,woods [cite: 12]
4663,woods [cite: 12]
4697,woods [cite: 12]
4713,woods [cite: 12]
4716,woods [cite: 12]
4717,woods [cite: 12]
4747,woods [cite: 12]
4749,woods [cite: 12]
4748,woods [cite: 12]
4741,woods [cite: 12]
4742,woods [cite: 12]
4743,woods [cite: 12]
4772,woods [cite: 12]
4773,woods [cite: 12]
4774,woods [cite: 12]
4775,woods [cite: 12]
4746,woods [cite: 12]
128,woods [cite: 12]
1769,woods [cite: 12]
4751,woods [cite: 12]
4766,woods [cite: 12]
4767,woods [cite: 12]
4768,woods [cite: 12]
4770,woods [cite: 12]
4853,woods [cite: 12]
4852,woods [cite: 12]
4864,woods [cite: 12]
210,mountain
226,mountain
139,mountain
1831,mountain
143,mountain
138,mountain
4175,mountain
158,mountain
1952,mountain
4236,mountain
974,mountain
975,mountain
976,mountain
977,mountain
2003,mountain
2020,mountain
2480,mountain
2481,mountain
2486,mountain
2609,mountain
2610,mountain
2612,mountain
2613,mountain
936,mountain
2154,mountain
2155,mountain
808,mountain
814,mountain
2825,mountain
452,mountain
2073,mountain
1078,mountain
4198,mountain
4201,mountain
4205,mountain [cite: 13]
4206,mountain [cite: 13]
4210,mountain [cite: 13]
4214,mountain [cite: 13]
4215,mountain [cite: 13]
4216,mountain [cite: 13]
4217,mountain [cite: 13]
4211,mountain [cite: 13]
4222,mountain [cite: 13]
1787,mountain [cite: 13]
1788,mountain [cite: 13]
120,mountain [cite: 13]
783,mountain [cite: 13]
794,mountain [cite: 13]
802,mountain [cite: 13]
824,mountain [cite: 13]
856,mountain [cite: 13]
857,mountain [cite: 13]
871,mountain [cite: 13]
875,mountain [cite: 13]
878,mountain [cite: 13]
879,mountain [cite: 13]
880,mountain [cite: 13]
2477,mountain [cite: 13]
2484,mountain [cite: 13]
2485,mountain [cite: 13]
2491,mountain [cite: 13]
2493,mountain [cite: 13]
2494,mountain [cite: 13]
2495,mountain [cite: 13]
2605,mountain [cite: 13]
2617,mountain [cite: 13]
2813,mountain [cite: 13]
2817,mountain [cite: 13]
2824,mountain [cite: 13]
2826,mountain [cite: 13]
2871,mountain [cite: 13]
2874,mountain [cite: 13]
2395,mountain [cite: 13]
2396,mountain [cite: 13]
583,mountain [cite: 13]
587,mountain [cite: 13]
872,mountain [cite: 13]
2505,mountain [cite: 13]
2604,mountain [cite: 13]
2877,mountain [cite: 13]
2873,mountain [cite: 13]
1180,mountain [cite: 13]
2371,mountain [cite: 13]
2381,mountain [cite: 13]
330,mountain [cite: 13]
785,mountain [cite: 13]
2564,mountain [cite: 13]
204,mountain [cite: 13]
199,mountain [cite: 13]
1853,mountain [cite: 13]
144,mountain [cite: 13]
124,mountain [cite: 13]
2305,mountain [cite: 13]
331,mountain [cite: 13]
2306,mountain [cite: 13]
2327,mountain [cite: 13]
380,mountain [cite: 13]
383,mountain [cite: 13]
680,mountain [cite: 13]
689,mountain [cite: 13]
693,mountain [cite: 13]
694,mountain [cite: 13]
697,mountain [cite: 13]
702,mountain [cite: 13]
2136,mountain [cite: 13]
2169,mountain [cite: 13]
2177,mountain [cite: 13]
2178,mountain [cite: 13]
2179,mountain [cite: 13]
2180,mountain [cite: 13]
2181,mountain [cite: 13]
716,mountain [cite: 13]
718,mountain [cite: 13]
719,mountain [cite: 13]
1066,mountain [cite: 13]
2117,mountain [cite: 13]
2189,mountain [cite: 13]
2190,mountain [cite: 13]
739,mountain [cite: 13]
2125,mountain [cite: 13]
2127,mountain [cite: 13]
565,mountain [cite: 13]
676,mountain [cite: 13]
677,mountain [cite: 13]
2074,mountain [cite: 13]
2128,mountain [cite: 13]
2129,mountain [cite: 13]
2130,mountain [cite: 13]
2103,mountain [cite: 13]
1048,mountain [cite: 13]
2104,mountain [cite: 13]
2105,mountain [cite: 13]
729,mountain [cite: 13]
2186,mountain [cite: 13]
1850,mountain [cite: 13]
2107,mountain [cite: 13]
2108,mountain [cite: 13]
2111,mountain [cite: 13]
2112,mountain [cite: 13]
222,mountain [cite: 13]
223,mountain [cite: 13]
732,mountain [cite: 14]
734,mountain [cite: 14]
2743,mountain [cite: 14]
4232,mountain [cite: 14]
4131,mountain [cite: 14]
1246,mountain [cite: 14]
1273,mountain [cite: 14]
4128,mountain [cite: 14]
20,mountain [cite: 14]
22,mountain [cite: 14]
422,mountain [cite: 14]
2201,mountain [cite: 14]
2198,mountain [cite: 14]
4301,mountain [cite: 14]
4306,mountain [cite: 14]
384,mountain [cite: 14]
385,mountain [cite: 14]
386,mountain [cite: 14]
390,mountain [cite: 14]
2332,mountain [cite: 14]
2345,mountain [cite: 14]
4280,mountain [cite: 14]
4281,mountain [cite: 14]
4282,mountain [cite: 14]
435,mountain [cite: 14]
436,mountain [cite: 14]
4348,mountain [cite: 14]
4404,mountain [cite: 14]
4514,mountain [cite: 14]
4515,mountain [cite: 14]
4516,mountain [cite: 14]
4517,mountain [cite: 14]
4518,mountain [cite: 14]
4519,mountain [cite: 14]
4520,mountain [cite: 14]
4521,mountain [cite: 14]
4546,mountain [cite: 14]
829,mountain [cite: 14]
4601,mountain [cite: 14]
4602,mountain [cite: 14]
4653,mountain [cite: 14]
4655,mountain [cite: 14]
4656,mountain [cite: 14]
4680,mountain [cite: 14]
4679,mountain [cite: 14]
4750,mountain [cite: 14]
4754,mountain [cite: 14]
2838,mountain [cite: 14]
2666,grasslands
213,grasslands
218,grasslands
219,grasslands
526,grasslands
417,grasslands
4341,grasslands [cite: 15]
593,grasslands [cite: 15]
2376,grasslands [cite: 15]
2391,grasslands [cite: 15]
2394,grasslands [cite: 15]
136,grasslands [cite: 15]
4174,grasslands [cite: 15]
373,grasslands [cite: 15]
149,grasslands [cite: 15]
1747,grasslands [cite: 15]
229,grasslands [cite: 15]
1943,grasslands [cite: 15]
1942,grasslands [cite: 15]
131,grasslands [cite: 15]
516,grasslands [cite: 15]
517,grasslands [cite: 15]
539,grasslands [cite: 15]
543,grasslands [cite: 15]
552,grasslands [cite: 15]
549,grasslands [cite: 15]
562,grasslands [cite: 15]
572,grasslands [cite: 15]
1948,grasslands [cite: 15]
2046,grasslands [cite: 15]
2055,grasslands [cite: 15]
2057,grasslands [cite: 15]
2059,grasslands [cite: 15]
2061,grasslands [cite: 15]
2062,grasslands [cite: 15]
2081,grasslands [cite: 15]
2082,grasslands [cite: 15]
2084,grasslands [cite: 15]
2094,grasslands [cite: 15]
2101,grasslands [cite: 15]
114,grasslands [cite: 15]
772,grasslands [cite: 15]
773,grasslands [cite: 15]
778,grasslands [cite: 15]
898,grasslands [cite: 15]
905,grasslands [cite: 15]
2632,grasslands [cite: 15]
2848,grasslands [cite: 15]
2851,grasslands [cite: 15]
2852,grasslands [cite: 15]
328,grasslands [cite: 15]
2399,grasslands [cite: 15]
2390,grasslands [cite: 15]
2405,grasslands [cite: 15]
1953,grasslands [cite: 15]
155,grasslands [cite: 15]
896,grasslands [cite: 15]
890,grasslands [cite: 15]
891,grasslands [cite: 15]
901,grasslands [cite: 15]
903,grasslands [cite: 15]
2016,grasslands [cite: 15]
2511,grasslands [cite: 15]
2598,grasslands [cite: 15]
2602,grasslands [cite: 15]
1177,grasslands [cite: 15]
2850,grasslands [cite: 15]
71,grasslands [cite: 15]
79,grasslands [cite: 15]
96,grasslands [cite: 15]
1086,grasslands [cite: 15]
1859,grasslands [cite: 15]
1967,grasslands [cite: 15]
2296,grasslands [cite: 15]
318,grasslands [cite: 15]
1170,grasslands [cite: 15]
2949,grasslands [cite: 15]
798,grasslands [cite: 15]
2948,grasslands [cite: 15]
703,grasslands [cite: 15]
704,grasslands [cite: 15]
726,grasslands [cite: 15]
730,grasslands [cite: 15]
2110,grasslands [cite: 15]
2113,grasslands [cite: 15]
42,grasslands [cite: 15]
457,grasslands [cite: 15]
458,grasslands [cite: 15]
4150,grasslands [cite: 15]
1017,grasslands [cite: 15]
1012,grasslands [cite: 15]
1019,grasslands [cite: 15]
1023,grasslands [cite: 15]
1024,grasslands [cite: 15]
1818,grasslands [cite: 15]
1825,grasslands [cite: 15]
1837,grasslands [cite: 15]
1839,grasslands [cite: 15]
1847,grasslands [cite: 15]
4359,grasslands [cite: 15]
4360,grasslands [cite: 15]
737,grasslands [cite: 15]
1013,grasslands [cite: 15]
1845,grasslands [cite: 15]
4227,grasslands [cite: 15]
4230,grasslands [cite: 15]
4394,grasslands [cite: 15]
1858,grasslands [cite: 15]
